"tstat","ptype","value","n","tau","EY","B","R","H0A","H0Y","seed"
"T22","rho.sharp",0.56,20,5,0.5,200,100,FALSE,FALSE,1
"T22","rho.oracle",0.77,20,5,0.5,200,100,FALSE,FALSE,1
"T22","rho.plug",0.685,20,5,0.5,200,100,FALSE,FALSE,1
"T22","rho.adj",0.68,20,5,0.5,200,100,FALSE,FALSE,1
"T23","rho.sharp",0.48,20,5,0.5,200,100,FALSE,FALSE,1
"T23","rho.oracle",0.785,20,5,0.5,200,100,FALSE,FALSE,1
"T23","rho.plug",0.745,20,5,0.5,200,100,FALSE,FALSE,1
"T23","rho.adj",0.8,20,5,0.5,200,100,FALSE,FALSE,1
"T31","rho.sharp",0.21,20,5,0.5,200,100,FALSE,FALSE,1
"T31","rho.oracle",0.61,20,5,0.5,200,100,FALSE,FALSE,1
"T31","rho.plug",0.57,20,5,0.5,200,100,FALSE,FALSE,1
"T31","rho.adj",0.57,20,5,0.5,200,100,FALSE,FALSE,1
"T32","rho.sharp",0.3,20,5,0.5,200,100,FALSE,FALSE,1
"T32","rho.oracle",0.72,20,5,0.5,200,100,FALSE,FALSE,1
"T32","rho.plug",0.65,20,5,0.5,200,100,FALSE,FALSE,1
"T32","rho.adj",0.66,20,5,0.5,200,100,FALSE,FALSE,1
"T33","rho.sharp",0.45,20,5,0.5,200,100,FALSE,FALSE,1
"T33","rho.oracle",0.715,20,5,0.5,200,100,FALSE,FALSE,1
"T33","rho.plug",0.68,20,5,0.5,200,100,FALSE,FALSE,1
"T33","rho.adj",0.68,20,5,0.5,200,100,FALSE,FALSE,1
"T41","rho.sharp",0.21,20,5,0.5,200,100,FALSE,FALSE,1
"T41","rho.oracle",0.61,20,5,0.5,200,100,FALSE,FALSE,1
"T41","rho.plug",0.57,20,5,0.5,200,100,FALSE,FALSE,1
"T41","rho.adj",0.57,20,5,0.5,200,100,FALSE,FALSE,1
"T42","rho.sharp",0.3,20,5,0.5,200,100,FALSE,FALSE,1
"T42","rho.oracle",0.72,20,5,0.5,200,100,FALSE,FALSE,1
"T42","rho.plug",0.65,20,5,0.5,200,100,FALSE,FALSE,1
"T42","rho.adj",0.66,20,5,0.5,200,100,FALSE,FALSE,1
"T43","rho.sharp",0.45,20,5,0.5,200,100,FALSE,FALSE,1
"T43","rho.oracle",0.715,20,5,0.5,200,100,FALSE,FALSE,1
"T43","rho.plug",0.68,20,5,0.5,200,100,FALSE,FALSE,1
"T43","rho.adj",0.68,20,5,0.5,200,100,FALSE,FALSE,1
"T11","rho.sharp",0,80,20,0.5,200,NA,FALSE,FALSE,1
"T11","rho.oracle",0.06,80,20,0.5,200,NA,FALSE,FALSE,1
"T11","rho.plug",0.13,80,20,0.5,200,NA,FALSE,FALSE,1
"T11","rho.adj",NA,80,20,0.5,200,NA,FALSE,FALSE,1
"T12","rho.sharp",0,80,20,0.5,200,NA,FALSE,FALSE,1
"T12","rho.oracle",0.035,80,20,0.5,200,NA,FALSE,FALSE,1
"T12","rho.plug",0.115,80,20,0.5,200,NA,FALSE,FALSE,1
"T12","rho.adj",NA,80,20,0.5,200,NA,FALSE,FALSE,1
"T13","rho.sharp",0.025,80,20,0.5,200,NA,FALSE,FALSE,1
"T13","rho.oracle",0.66,80,20,0.5,200,NA,FALSE,FALSE,1
"T13","rho.plug",0.6,80,20,0.5,200,NA,FALSE,FALSE,1
"T13","rho.adj",NA,80,20,0.5,200,NA,FALSE,FALSE,1
"T21","rho.sharp",0.045,80,20,0.5,200,NA,FALSE,FALSE,1
"T21","rho.oracle",0.375,80,20,0.5,200,NA,FALSE,FALSE,1
"T21","rho.plug",0.37,80,20,0.5,200,NA,FALSE,FALSE,1
"T21","rho.adj",NA,80,20,0.5,200,NA,FALSE,FALSE,1
"T22","rho.sharp",0.025,80,20,0.5,200,NA,FALSE,FALSE,1
"T22","rho.oracle",0.375,80,20,0.5,200,NA,FALSE,FALSE,1
"T22","rho.plug",0.37,80,20,0.5,200,NA,FALSE,FALSE,1
"T22","rho.adj",NA,80,20,0.5,200,NA,FALSE,FALSE,1
"T23","rho.sharp",0.03,80,20,0.5,200,NA,FALSE,FALSE,1
"T23","rho.oracle",0.705,80,20,0.5,200,NA,FALSE,FALSE,1
